,Fz,Fc3,Fc1,Fcz,Fc2,Fc4,C5,C3,C1,Cz,C2,C4,C6,Cp3,Cp1,Cpz,Cp2,Cp4,P1,Pz,P2,Poz
Fz,,,,1,,,,,,,,,,,,,,,,,,
Fc3,,,1,,,,,1,,,,,,,,,,,,,,
Fc1,,1,,1,,,,,1,,,,,,,,,,,,,
Fcz,1,,1,,1,,,,,1,,,,,,,,,,,,
Fc2,,,,1,,1,,,,,1,,,,,,,,,,,
Fc4,,,,,1,,,,,,,1,,,,,,,,,,
C5,,,,,,,,1,,,,,,,,,,,,,,
C3,,1,,,,,1,,1,,,,,1,,,,,,,,
C1,,,1,,,,,1,,1,,,,,1,,,,,,,
Cz,,,,1,,,,,1,,1,,,,,1,,,,,,
C2,,,,,1,,,,,1,,1,,,,,1,,,,,
C4,,,,,,1,,,,,1,,1,,,,,1,,,,
C6,,,,,,,,,,,,1,,,,,,,,,,
Cp3,,,,,,,,1,,,,,,,1,,,,,,,
Cp1,,,,,,,,,1,,,,,1,,1,,,1,,,
Cpz,,,,,,,,,,1,,,,,1,,1,,,1,,
Cp2,,,,,,,,,,,1,,,,,1,,1,,,1,
Cp4,,,,,,,,,,,,1,,,,,1,,,,,
P1,,,,,,,,,,,,,,,1,,,,,1,,
Pz,,,,,,,,,,,,,,,,1,,,1,,1,1
P2,,,,,,,,,,,,,,,,,1,,,1,,
Poz,,,,,,,,,,,,,,,,,,,,1,,
